id,first_name,last_name,country,number
745,Roland,Nilsson,SWE,
746,Josef,Ozelt,AUT,
747,Peter,Stocksiefen,GER,
748,R.,Schuster,?,
749,Rolf,Minhoff,GER,
750,Adu,Celso-Santos,BRA,
751,Michel,Rougerie,FRA,
752,Tierry,Tchernine,FRA,
753,R.,Jimenez,FRA,
754,Heinz,Schmid,SWI,
755,Fosco,Giansanti,ITA,
756,Giovanni,Buffarello,ITA,
757,Adriano,Cocchi,ITA,
758,Ermanno,Giuliano,ITA,
759,Nigel,Stone,?,
760,Claudio,Lusuardi,ITA,
761,B.,Lee,?,
762,Robert,Hackett,GBR,
763,Leigh,Notman,GBR,
764,Andy,Morris,GBR,
765,Mike,Evans,GBR,
766,Frantisek,Srna,TCH,
767,Marcel,Ankone,NED,
768,Giovanni,Proni,ITA,
769,Geza,Repitz,HUN,
770,Bela,Godany,HUN,
771,Borge W.,Nielsen,DAN,
772,B.,Miklos,?,
773,V.,Haeltert,?,
774,A.,Bertholet,?,
775,P.,Seljak,?,
776,H.,Kroismayr,AUT,
777,Bert,Mijland,NED,
778,Theo,Timmer,NED,
779,Bernd,Tungethal,GER,
780,Reiner,Richter,GER,
781,Benito,Jull,CUB,
782,L.,Uhlig,?,
783,E.,Borisenko,RUS,
784,Paolo,Isnardi,ITA,
785,Aramir,Brito,CUB,
786,Antonio,Garcia,CUB,
787,Ken,Redfern,?,
788,Tapio,Virtanen,FIN,
789,Remy,Hirschy,SWI,
790,Penty,Salonen,FIN,
791,Henk,Van Kessel,NED,
792,Victor,Palomo,SPA,
793,Olivier,Chevallier,FRA,
794,Werner,Giger,SWI,
795,Gianfranco,Bonera,ITA,
796,Georg,Pohlmann,GER,
797,Christian,Leon,FRA,
798,Wil,Hartog,NED,
799,Roger,Nichols,GBR,
800,Reinhard,Hiller,GER,
801,Dave,Hughes,GBR,
802,Mario,Lega,ITA,
803,Jean Francois,Baldé,FRA,
804,Udo,Kochanski,GER,
805,J.,Taylor,?,
806,Ted,Jansen,?,
807,Jean Paul,Boinet,FRA,
808,Graham,Bailey,GBR,
809,Bo,Brolin,SWE,
810,Jerome,Van Halter,NED,
811,Patrick,Pons,FRA,
812,Horst,Seel,GER,
813,Walter,Winkler,AUT,
814,Klaus,Leonhardt,GER,
815,Johann,Zemsauer,AUT,
816,Paolo,Pileri,ITA,
817,Rudolf,Weiss,AUT,
818,Walter,Kaletsch,GER,
819,Franz,Weidacher,?,
820,H.,Konschok,?,
821,Lothar,Mülbert,GER,
822,Herbert,Rittberger,GER,
823,J.,Roller,?,
824,R.,Bratenstein,?,
825,Kasimer,Rapczynski,?,
826,Rolf,Blatter,SWI,
827,Chris,Taylor,USA,
828,K.,Huggett,?,
829,Phil,Carpenter,GBR,
830,Helmut,Kassner,GER,
831,Niel,Tuxworth,GBR,
832,Ivan,Hodgkinson,GBR,
833,Clive,Horton,GBR,
834,Richard,Stevens,GBR,
835,Bob,Ware,GBR,
836,Gianni,Ribuffo,ITA,
837,Stefan,Dörflinger,SWI,
838,Piet,Vd Goorbergh,NED,
839,Ramon,Serrer,GER,
840,Ingermar,Larssen,SWE,
841,Leif,Gustafsson,SWE,
842,Hans,Hallberg,SWE,
843,Steffan,Liebst,SWE,
844,Lennart,Lundgren,SWE,
845,Pekka,Nurmi,FIN,
846,Philippe,Coulon,SWI,
847,Andre,Nuno,?,
848,Ricardo,Tormo,SPA,
849,Edmund,Czihak,GER,
850,Pete,McKinley,GBR,
851,Geoff,Barry,GBR,
852,Philippe,Gerard,FRA,
853,G.,Debrok,?,
